country,state,city,station,pollutant_id,pollutant_avg,KMeans,Agglo,DBSCAN,Anomaly
India,Rajasthan,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",PM2.5,144.0,3,4,-1,1
India,Rajasthan,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",NO2,66.0,0,2,-1,1
India,Rajasthan,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",NH3,14.0,2,1,-1,1
India,Rajasthan,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",OZONE,20.0,2,3,-1,1
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB",PM2.5,63.0,4,4,-1,1
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB",SO2,4.0,2,1,-1,1
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB",PM2.5,95.0,3,4,-1,1
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB",CO,49.0,0,3,-1,1
India,Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB",OZONE,56.0,4,2,-1,1
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",NO2,60.0,0,2,-1,1
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",SO2,9.0,2,1,-1,1
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB",PM10,113.0,3,4,-1,1
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB",NO2,40.0,0,3,-1,1
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB",NH3,14.0,2,1,-1,1
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB",CO,71.0,4,2,-1,1
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB",OZONE,31.0,2,1,-1,1
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB",PM10,125.0,4,2,-1,1
India,Rajasthan,Sawai Madhopur,"Sahu Nagar, Sawai Madhopur - RSPCB",PM10,135.0,1,0,-1,1
India,Rajasthan,Sawai Madhopur,"Sahu Nagar, Sawai Madhopur - RSPCB",SO2,8.0,2,1,-1,1
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",SO2,15.0,0,3,-1,1
